Date;Location;Latitude;Longitude;Operator;AC Type;Aboard;Aboard Passangers;Aboard Crew;Fatalities;Fatalities Passangers;Fatalities Crew;Ground;Summary;;;
02/09/1921;La Crosse;43,8088;-91,2519;US Aerial Mail Service;Junkers F-13;3;0;3;3;0;3;0;Crashed for unknown reasons. Both pilots and the mechanic were killed.;;;
02/15/1921;Gibraltar;#CAMPO!;#CAMPO!;Aeropostale;Breguet 14;2;0;2;2;0;2;0;The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.;;;
02/22/1921;Elko;40,8333;-115,7667;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Shortly after taking off, the aircraft stalled and crashed .;;;
04/06/1921;Point Cook;-37,9086;144,7520;Military - Royal Australian Air Force;  ;2;0;0;2;0;0;0;Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.;;;
04/21/1921;Mitchel Field, NY;#CAMPO!;#CAMPO!;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;After taking off the aircraft stalled and crashed.;;;
04/29/1921;Cleveland;41,4822;-81,6697;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.;;;
05/17/1921;Rock Springs;41,5908;-109,2225;US Aerial Mail Service;De Havilland DH-4 De Havilland DH-4;1;0;1;1;0;1;0;Crashed while attempting to land.;;;
08/24/1921;River Humber, England;#CAMPO!;#CAMPO!;Military - Royal Airship Works;Royal Airship Works ZR-2 (airship);46;0;46;46;0;46;1;Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.;;;
09/06/1921;Paris;48,8569;2,3508;Franco-Roumaine;Potez IX;5;4;1;5;4;1;0;Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.;;;
12/05/1921;Near Murchinson River, Australia;#CAMPO!;#CAMPO!;West Australian Airways;Bristol 28 Tourer;2;0;2;2;0;2;0;On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.;;;
01/14/1922;Paris;48,8569;2,3508;Handley Page Transport;Handley Page O/10;5;4;1;5;4;1;5;Crashed at Le Bourget field.;;;
03/22/1922;North Atlantic Ocean;#CAMPO!;#CAMPO!;Aero Limited;Aeromarine Model 85 (flying boat);6;5;1;5;5;0;0;The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.;;;
04/07/1922;Grandvilliers;49,6652;1,9411;Daimler Airways / Grands Express Aeriens;de Havilland DH-18 / Farman F-60 Goliath;7;5;2;7;5;2;0;A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.;;;
06/03/1922;Folkestone;51,0810;1,1660;Cie des Messageries Aeriennes;Bleriot Spad 27;3;2;1;3;2;1;0;Went down into the English Channel while en route.;;;
07/16/1922;Near Saverne, Lorraine, France;#CAMPO!;#CAMPO!;Compagnie Franco-Roumaine de Navigaation Aerienne;Potez 29;5;4;1;5;4;1;0;Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.;;;
07/26/1922;Cádis;36,5333;-6,2833;Grands Express Aeriens;Breguet 14;3;2;1;3;2;1;0;While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.;;;
09/07/1922;Indianápolis;39,7910;-86,1480;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;The plane stalled shortly after takeoff and crashed.;;;
10/02/1922;Veneza;45,4346;12,3389;de Havilland Air Service;de Havilland DH-9;4;3;1;4;3;1;0;Shortly after taking off the plane crashed into the sea and sank.;;;
10/25/1922;Larache;35,1833;-6,1500;Grands Express Aeriens;Breguet 14;2;1;1;2;1;1;0;Crashed under unknown circumstances.;;;
12/03/1922;Fez;34,0598;-4,9653;Grands Express Aeriens;Breguet 14;1;0;1;1;0;1;0;While flying in foggy conditions the pilot reduced altitude and crashed into a hill.;;;
01/10/1923;Ajaccio;41,9267;8,7369;Amee de l'Air;LiorÃ©-et-Olivier H-13;4;2;2;3;1;2;0;The plane crashed mid-air due to a structural failure of the tail.;;;
01/17/1923;Barcelona;41,3879;2,1699;Grands Express Aeriens;Breguet 14;1;0;1;1;0;1;0;Crashed into a mountain during a snowstorm.;;;
01/18/1923;Cheyenne;41,1402;-104,8188;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Crashed during a mail flight.;;;
02/26/1923;Meadville;41,6500;-80,1500;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;The pilot lost control of the aircraft  while on approach in poor weather conditions.;;;
05/14/1923;Near Amiens, Picrdie, France;#CAMPO!;#CAMPO!;Grands Express Aeriens (Air Union);Farman F-60 Goliath;6;4;2;6;4;2;0;Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.;;;
08/27/1923;East Mallling, United Kingdom;#CAMPO!;#CAMPO!;Air Union;Farman F.60 Goliath;11;9;2;1;1;0;0;The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.;;;
08/27/1923;Bucareste;#CAMPO!;#CAMPO!;Campagnie France Roumaine;BlÃ©riot Spad 46;2;1;1;2;1;1;0;Crashed while on approach to Bucharesst.;;;
09/07/1923;Colton;41,4642;-83,9526;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Crashed during an emergency landing attempt.;;;
09/14/1923;Near Ivinghoe, Buckinghamshire, England;#CAMPO!;#CAMPO!;Daimler Airways;de Havilland DH-34;5;3;2;5;3;2;0;Crashed while attempting a forced landing after encountering heavy rain.;;;
11/18/1923;Rússia;#CAMPO!;#CAMPO!;CCCP;Junkers F-13;5;2;3;3;1;2;0;Crashed during a training flight.;;;
12/06/1923;Castalia;41,4009;-82,8086;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Crashed under unknown circumstances.;;;
12/24/1923;Essa;44,2500;-79,7833;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Crashed into a montain in poor weather conditions.;;;
03/07/1924;Grampian;40,9653;-78,6114;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Crashed during a snowstorm.;;;
04/24/1924;Over the English Channel;#CAMPO!;#CAMPO!;KLM Royal Dutch Airlines;Fokker F.III;3;2;1;3;2;1;0;The aircraft disappeared over the North Sea. The plane and passengers were never found.;;;
06/08/1924;Barranquilla;10,9639;-74,7964;SCADTA;Junkers F-13;5;3;2;5;3;2;0;Stalled after taking off and crashed into houses..;;;
08/01/1924;Estados Unidos;#CAMPO!;#CAMPO!;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;The pliot made a low pass in honor of another pilot who had died, stalled and cashed.;;;
11/06/1924;Cabrerolles;43,5444;3,1252;Grands Express Aeriens;Breguet 14;1;0;1;1;0;1;0;While en route the pilot encountered thunderstorms, lost control and crashed.;;;
12/21/1924;Goshen;41,5812;-85,8344;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.;;;
12/24/1924;Purley, England;#CAMPO!;#CAMPO!;Imperial Airways;de Havilland DH-34B;8;7;1;8;7;1;0;Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.;;;
03/22/1925;Near Tiflis, Georgia, USSR;#CAMPO!;#CAMPO!;Zakavia;Junkers F-13;5;3;2;5;3;2;0;Shortly after take off the plane went out of control and crashed in flames.;;;
04/25/1925;Alicante;38,3453;-0,4831;Grands Express Aeriens;Breguet 14;3;1;2;3;1;2;0;Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.;;;
06/25/1925;Landrais;46,0693;-0,8617;KLM Royal Dutch Airlines;Fokker (KLM)  F.III;4;3;1;4;3;1;0;While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.;;;
06/26/1925;Alicante;38,3453;-0,4831;Grands Express Aeriens;LiorÃ©-et-Olivier LeO H-13;2;0;2;2;0;2;0;While attempting to land the seaplane hit a lightning mast and crashed.;;;
07/20/1925;Roses;42,2630;3,1748;Lignes Aeriennes Latecoere;Breguet 14;1;0;1;1;0;1;0;Crashed in unknown circumstance.;;;
07/24/1925;Budapeste;#CAMPO!;#CAMPO!;CIDNA;Potez IX;1;0;1;1;0;1;0;Crashed while attempting to land 10 km from the airport;;;
10/01/1925;Mt. Nittany, Ohio;#CAMPO!;#CAMPO!;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Crashed into a wooded area on Mt. Nittany in fog and low visibility.;;;
11/14/1925;Nuadibu;20,9366;-17,0399;Lignes Aeriennes Latecoere;Breguet 14;1;0;1;1;0;1;0;The pilot suffered sunstroke lost control of the plane and crashed.;;;
02/12/1926;Montpelier;41,5831;-84,6042;US Aerial Mail Service;Curtiss Carrier Pigeon;1;0;1;1;0;1;0;While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.;;;
03/08/1926;Staufen;47,8814;7,7314;Deutche Lufthansa;Junkers F-13;1;0;1;1;0;1;0;While in a training filight the aircraft stalled and crashed while attempting to land.;;;
05/31/1926;English Channel;#CAMPO!;#CAMPO!;Air Union;Breguet 14;1;0;1;1;0;1;0;The mail plane crashed into the English Channel and was never found.;;;
07/03/1926;Rossaugpt, Czechoslovakia;#CAMPO!;#CAMPO!;Compagnie Internationale de Navigation AÃ©rienne;Caudron C-61;6;4;2;6;4;2;0;Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.;;;
07/09/1926;Meise;50,9340;4,3273;KLM Royal Dutch Airlines;Fokker F7;2;1;1;2;1;1;0;Crashed into the ground while descending in poor weather.;;;
07/24/1926;Juist;53,6786;6,9975;Deutsche Lufthansa;Junkers F-13;5;4;1;5;4;1;0;Crashed under weather related.circumstances.;;;
08/18/1926;Hurst;51,4580;-0,8520;Air Union;Bleriot 155;15;13;2;3;2;1;0;The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.;;;
10/02/1926;Leigh;51,1968;0,2152;Air Union;Bleriot 155;7;5;2;7;5;2;0;After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..;;;
10/08/1926;Berne;53,1833;8,4833;Deutsche Lufthansa;Fokker FG III;4;3;1;4;3;1;0;Weather related.;;;
10/21/1926;English Channel;#CAMPO!;#CAMPO!;Imperial Airways;Handley Page W-10;12;10;2;0;0;0;0;The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.;;;
11/11/1926;Cabo Bojador;26,1239;-14,4849;Grands Express Aeriens;Breguet 14;3;3;0;3;3;0;0;While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.;;;
12/16/1926;Medford;42,3319;-122,8619;Pacific Air Transport;Ryan M-1;1;0;1;1;0;1;0;The postal plane crashed into a mountain slope in foggy conditions.;;;
01/12/1927;Estaires;50,6447;2,7218;Fokker;Fokker F-VII;0;0;2;0;0;2;0;The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.;;;
03/20/1927;Rabat;34,0209;-6,8417;Grands Express Aeriens;Breguet 14;1;0;1;1;0;1;0;Unknown.;;;
03/24/1927;Tambo;-24,8833;146,2500;Qantas;de Havilland DH-9C;3;2;1;3;2;1;0;While attempting to land, the engine failed, the aircraft stalled and crashed.;;;
04/15/1927;King Hill;43,0031;-115,2070;Varney Air Lines;Swallow Swallow;1;0;1;1;0;1;0;Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.;;;
04/22/1927;Floh, Germany;#CAMPO!;#CAMPO!;Deutsche Lufthansa;Fokker FG III;2;1;1;2;1;1;0;Crashed following engine failure.;;;
04/22/1927;Goshen;41,5812;-85,8344;US Aerial Mail Service;Douglas M-4;1;0;1;1;0;1;0;Crashed into a field during a snow storm.;;;
05/02/1927;Argel;36,7717;3,0518;Air Union;SPCA Meteore 63;3;0;3;1;0;1;0;The three engine seaplane stalled and crashed into the sea shortly after taking off.;;;
07/27/1927;Amöneburg;50,7978;8,9231;Deutsche Lufthansa;Junkers F-13;5;3;2;5;3;2;0;Crashed after experiencing engine failure and attempting to make a forced landing.;;;
08/22/1927;Sevenoaks;51,2781;0,1874;KLM Royal Dutch Airlines;Fokker F-VIII;11;9;2;1;0;1;0;A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.;;;
09/03/1927;Willington;41,8748;-72,2628;Colonial Air Transport;Fokker Universal 405;1;0;1;1;0;1;0;The postal plane crashed for unknown reasons.;;;
09/17/1927;Hazlet;40,4256;-74,1687;Reynolds Airways;Fokker F-VII;12;11;1;7;6;1;0;The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.;;;
09/17/1927;Atlantic Ocean;#CAMPO!;#CAMPO!;Private;Fokker F7;3;1;2;3;1;2;0;While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.;;;
09/23/1927;Schleich;49,8131;6,8411;Deutsche Lufthansa;Dornier Merkur;6;4;2;6;4;2;0;From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.;;;
10/06/1927;Thiès;14,7833;-16,9167;Lignes Aeriennes Latecoere;Breguet 14;2;0;2;2;0;2;0;The plane crashed while attempting to land at Dakar.;;;
10/30/1927;New Brunswick;40,4867;-74,4444;Colonial Air Transport;Fairchild FC-2;4;3;1;4;3;1;0;Went into a tailspin and crashed into a corn field about 10 km from the airport.;;;
11/08/1927;Estrasburgo;48,5800;7,7500;CIDNA;Farman F-121 Jabiru;1;0;1;1;0;1;0;The mail plane crashed shortly after taking off.;;;
11/16/1927;Over the Gulf of Finland;#CAMPO!;#CAMPO!;Aero O-Y;Junkers F-13;6;4;2;6;4;2;0;Crashed in the gulf of Finland and never found.;;;
11/29/1927;Corunna;41,4367;-85,1461;National Air Transport;Douglas M-4 PO641;1;0;1;1;0;1;0;The postal plane crashed at night in poor weather.;;;
12/28/1927;Almeria;36,8401;-2,4679;Aeropostale;Breguet 14;1;0;1;1;0;1;0;A fire erupted aboard the mail plane while en route and crashed.;;;
12/31/1927;Near Marseille,France;#CAMPO!;#CAMPO!;Latecoere Airlines;LatÃ©coÃ¨re 23 (flying boat);5;0;5;5;0;5;0;Suffered structural failure at an altitude of 1,000 ft.;;;
01/08/1928;Near Canajoharie, New York;#CAMPO!;#CAMPO!;Colonial Western Airlines;Fairchild FC-2;3;1;2;3;1;2;0;Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..;;;
01/16/1928;Solis;-34,7931;-55,3833;Aeropostale;Latecoere 25;2;0;2;2;0;2;0;The wing on the mail plane detached from the aircraft and crashed into the sea.;;;
01/22/1928;L'Hospitalet de Llobregat;41,3589;2,0994;Aeropostale;Breguet 14;1;0;1;1;0;1;0;Crashed after experiencing mechanical difficulties.;;;
01/22/1928;Tarragona;41,1187;1,2453;Aeropostale;Breguet 14;2;0;2;2;0;2;0;Crashed in unknown circumstances.;;;
01/27/1928;Almeria;36,8401;-2,4679;Aeropostale;Breguet 14;1;0;1;1;0;1;0;After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.;;;
02/26/1928;Marquette;41,0061;-98,0097;Boeing Air Transport;Boeing 40;2;1;1;1;1;0;0;The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.;;;
03/11/1928;Cabo Oriental;#CAMPO!;#CAMPO!;Air Union;Farman F-60 Goliath;2;0;2;2;0;2;0;Crashed into the sea while delivering mail in poor weather.;;;
04/17/1928;Alemanha;#CAMPO!;#CAMPO!;Boeing Air Transport;Boeing 40;2;1;1;1;1;0;0;Spatial disorientation after entering a snowstorm.;;;
04/19/1928;Vinuesa;41,9167;-2,7667;Iberia Airlines;Rohrbach Roland;9;7;2;9;7;2;0;Crashed into a field after getting lost in fog.;;;
05/07/1928;Florianópolis;-27,5935;-48,5585;Aeropostale;Latecoere 26;5;3;2;1;1;0;0;An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.;;;
05/12/1928;Dearborn;42,3221;-83,1759;Ford Air Freight Inc.;Ford 4;2;0;2;2;0;2;0;The cargo plane crashed on itâ€™s inaugural flight. The pilot tried to become airborne without sufficient speed.;;;
05/26/1928;Radevormwald;51,2013;7,3583;Deutsche Lufthansa;Junkers F-13;5;4;1;3;2;1;0;After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.;;;
06/14/1928;Frankfurt am Main;50,1109;8,6795;Deutsche Lufthansa;AEGK;5;4;1;5;4;1;0;"The ""Viper"" crashed for unknown reasons.";;;
06/22/1928;Lebo;38,4156;-95,8586;National Air Transport;Douglas M-4;1;0;1;1;0;1;0;The mail plane flew into tornado like winds and crashed in a field.;;;
07/10/1928;Over the Gulf of Finland;#CAMPO!;#CAMPO!;Aero O-Y;Junkers F-13;6;4;2;6;4;2;0;Crashed under unknown circumstances;;;
07/13/1928;Purley, England;#CAMPO!;#CAMPO!;Imperial Airways;Vickers 74 Vulcan;6;5;1;4;4;0;0;After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.;;;
07/24/1928;Waalhaven, Netherlands;#CAMPO!;#CAMPO!;KLM Royal Dutch Airlines;Fokker (KLM) F.III;6;5;1;1;1;0;0;The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.;;;
08/25/1928;Near Port Townsend, BC, Canada;#CAMPO!;#CAMPO!;British Columbia Airways;Ford 4-AT-B Tri Motor;7;5;2;7;5;2;0;Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.;;;
09/02/1928;Toul, France;#CAMPO!;#CAMPO!;CIDNA;Bleriot Spad 33;5;2;3;5;2;3;0;After taking off the engine failed, the plane stalled and crashed.;;;
09/04/1928;Adelaide Hills Council;-34,9500;138,8830;Qantas;de Havilland DH.50J;2;0;2;1;0;1;0;Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills;;;
09/04/1928;Pocatello;42,8752;-112,4473;National Parks Airways;Fokker Super Universal;7;6;1;7;6;1;0;While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.;;;
09/06/1928;Heroldsbach;49,6930;10,9978;Deutsche Lufthansa;Fokker FG III;3;2;1;3;2;1;0;Crashed due to engine failure.;;;
10/04/1928;Girona;41,9816;2,8236;Aeropostale;Breguet 14;3;2;1;3;2;1;0;Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of LlancÃ ,;;;
10/18/1928;Polk;41,3653;-79,9325;National Air Transport;Douglas M-4;1;0;1;1;0;1;0;The mail plane crashed into a hill and burned during the night during poor weather conditons.;;;
10/31/1928;Valence;44,9333;4,8917;Air Union;Bleriot Spad 56;2;1;1;1;0;1;0;The pilot attempted an emergency landing in a muddy field and crashed.;;;
11/24/1928;Edgerton;41,4488;-84,7481;Universal Airlines;Hamilton H-47;3;2;1;3;2;1;0;The mail plane crashed in a heavy snow storm.;;;
11/25/1928;Edgerton;41,4488;-84,7481;Continental Air Lines;Travel Air 4000;1;0;1;1;0;1;0;The mail plane crashed in a heavy snow storm;;;
11/25/1928;Bristolville;41,3790;-80,8679;National Air Transport;Douglas M-4;1;0;1;1;0;1;0;The mail plane crashed in a snow storm.;;;
12/01/1928;Spur;33,4778;-100,8569;Sunbeam Air Transport Co.;Ford 4-AT-B Tri Motor;5;4;1;5;4;1;0;The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.;;;
