date,location,operator,aboard,aboard_passangers,aboard_crew,fatalities,fatalities_passangers,fatalities_crew,ground,summary,country
1918-12-16 00:00:00,"Elizabeth, New Jersey",US Aerial Mail Service,1,0,1,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground., North Sea
1919-05-25 00:00:00,"Cleveland, Ohio",US Aerial Mail Service,1,0,1,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive., New Jersey
1919-07-19 00:00:00,"Dix Run, Pennsylvania",US Aerial Mail Service,1,0,1,1,0,1,0,The mail plane crashed under unknown circumstances., Ohio
1919-07-21 00:00:00,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,NULL,NULL,NULL,3,2,1,10," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed", Pennsylvania
1919-08-02 00:00:00,"Verona, Italy",Caproni Company,14,12,2,14,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17., Illinois
1919-10-02 00:00:00,"Newcastle, England",Aircraft Transport and Travel,1,0,1,1,0,1,0,, Italy
1919-10-14 00:00:00,"Cantonsville, Maryland",US Aerial Mail Service,1,0,1,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.", England
1919-10-20 00:00:00,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,0,0,1,0,0,0,0,Crashed into the sea while attempting to land in fog., Maryland
1919-10-30 00:00:00,"Long Valley, New Jersey",US Aerial Mail Service,1,0,1,1,0,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.", Kent
1919-12-11 00:00:00,"Catherham, Surrey, UK",Aircraft Travel Transport,1,1,1,1,1,1,0,Crashed in a field while attemptting to land., New Jersey
1920-03-10 00:00:00,"New Paris, Indiana",US Aerial Mail Service,1,0,1,1,0,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",null
1920-03-30 00:00:00,"Newark, New Jersey",US Aerial Mail Service,1,0,1,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility., Indiana
1920-04-10 00:00:00,"Newark, New Jersey",US Aerial Mail Service,2,1,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed., New Jersey
1920-04-11 00:00:00,"Heller Field, New Jersey",US Aerial Mail Service,2,1,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons., New Jersey
1920-05-12 00:00:00,"Oskaloosa, Iowa",US Aerial Mail Service,2,1,1,1,1,0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.", New Jersey
1920-06-06 00:00:00,"Cleveland, Ohio",US Aerial Mail Service,1,0,1,1,0,1,0,The aircraft suffered engine failure and crashed shortly after taking off., Iowa
1920-07-20 00:00:00,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,1,1,1,1,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion., Ohio
1920-08-16 00:00:00,"Bedford, England",By Air,1,0,1,1,0,1,0,The plane crashed during a cargo flight under unknown circumstances., Columbia
1920-08-16 00:00:00,"College Park, Maryland",US Aerial Mail Service,1,0,1,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.", England
1920-09-01 00:00:00,"Morristown, New Jersey",US Aerial Mail Service,2,0,2,2,0,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.", Maryland
1920-09-15 00:00:00,"Pemberville, Ohio",US Aerial Mail Service,2,NULL,NULL,2,NULL,NULL,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire., New Jersey
1920-09-27 00:00:00,"Hillersburg, Pennsylvania",US Aerial Mail Service,1,0,1,1,0,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility., Ohio
1920-10-02 00:00:00,"Off Port Vendres, France",Latecoere Airlines,2,1,1,2,1,1,0,Crashed into the Mediterranean while on a mail flight., Pennsylvania
1920-10-05 00:00:00,"Valencia, Spain",Latecoere Airlines,2,1,1,2,1,1,0,While on a mail flight the plane crashed while attempting to land., France
1920-10-15 00:00:00,"Batavia, Illinois",US Aerial Mail Service,1,0,1,1,0,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed., Spain
1920-11-07 00:00:00,"Tie Siding, Wyoming",US Aerial Mail Service,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions., Illinois
1920-12-14 00:00:00,"London, England",Handley Page Transport,8,6,2,4,2,2,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service.., Wyoming
1920-12-24 00:00:00,"Barcelona, Spain",Aeropostale,1,0,1,1,0,1,0,The aircraft stalled and crashed when an engine failed., England
1921-02-03 00:00:00,"Mendotta, Minnisota",US Aerial Mail Service,1,0,1,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field., Spain
1921-02-09 00:00:00,"La Crosse, Wisconsin",US Aerial Mail Service,3,0,3,3,0,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed., Minnisota
1921-02-15 00:00:00,Off Gibraltar,Aeropostale,2,0,2,2,0,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered., Wisconsin
1921-02-22 00:00:00,"Elko, Nevada",US Aerial Mail Service,1,0,1,1,0,1,0,"Shortly after taking off, the aircraft stalled and crashed .",null
1921-04-06 00:00:00,"Point Cook, Australia",Military - Royal Australian Air Force,2,0,0,2,0,0,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.", Nevada
1921-04-21 00:00:00,"Mitchel Field, NY",US Aerial Mail Service,1,0,1,1,0,1,0,After taking off the aircraft stalled and crashed., Australia
1921-04-29 00:00:00,"Cleveland, Ohio",US Aerial Mail Service,1,0,1,1,0,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.", NY
1921-05-17 00:00:00,"Rock Springs, Wyoming",US Aerial Mail Service,1,0,1,1,0,1,0,Crashed while attempting to land., Ohio
1921-08-14 00:00:00,"Toulouse, France",Aeropostale,2,NULL,NULL,2,NULL,NULL,0,, Wyoming
1921-08-24 00:00:00,"River Humber, England",Military - Royal Airship Works,46,0,46,46,0,46,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design., France
1921-09-06 00:00:00,"Paris, France",Franco-Roumaine,5,4,1,5,4,1,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway., England
1921-12-05 00:00:00,"Near Murchinson River, Australia",West Australian Airways,2,0,2,2,0,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila., France
1922-01-14 00:00:00,"Paris, France",Handley Page Transport,5,4,1,5,4,1,5,Crashed at Le Bourget field., Australia
1922-02-21 00:00:00,"Near Norfolk, Virginia",Military - U.S. Army Air Service,45,NULL,NULL,34,NULL,NULL,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls., France
1922-03-22 00:00:00,North Atlantic Ocean,Aero Limited,6,5,1,5,5,0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.", Virginia
1925-04-25 00:00:00,"Alicante, Spain",Grands Express Aeriens,3,1,2,3,1,2,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",null
1922-04-07 00:00:00,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,7,5,2,7,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.", Spain
1922-06-03 00:00:00,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,3,2,1,3,2,1,0,Went down into the English Channel while en route., France
1922-07-16 00:00:00,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,5,4,1,5,4,1,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,null
1922-07-26 00:00:00,"Cadix, Spain",Grands Express Aeriens,3,2,1,3,2,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",null
1922-09-07 00:00:00,"Indianapolis, Indiana",US Aerial Mail Service,1,0,1,1,0,1,0,The plane stalled shortly after takeoff and crashed., Spain
1922-10-02 00:00:00,"Venice, Italy",de Havilland Air Service,4,3,1,4,3,1,0,Shortly after taking off the plane crashed into the sea and sank., Indiana
1922-10-25 00:00:00,"Larache, Morocco",Grands Express Aeriens,2,1,1,2,1,1,0,Crashed under unknown circumstances., Italy
1922-12-03 00:00:00,"Fez, Morocco",Grands Express Aeriens,1,0,1,1,0,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill., Morocco
1923-01-10 00:00:00,"Ajaccio, France",Amee de l'Air,4,2,2,3,1,2,0,The plane crashed mid-air due to a structural failure of the tail., Morocco
1923-01-17 00:00:00,"Barcelona, Spain",Grands Express Aeriens,1,0,1,1,0,1,0,Crashed into a mountain during a snowstorm., France
1923-01-18 00:00:00,"Cheyenne, Wyoming",US Aerial Mail Service,1,0,1,1,0,1,0,Crashed during a mail flight., Spain
1923-02-26 00:00:00,"Meadville, Pennsylvania",US Aerial Mail Service,1,0,1,1,0,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions., Wyoming
1923-05-14 00:00:00,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),6,4,2,6,4,2,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.", Pennsylvania
1923-08-27 00:00:00,"East Mallling, United Kingdom",Air Union,11,9,2,1,1,0,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",null
1923-08-27 00:00:00,"Bucharest, Romania",Campagnie France Roumaine,2,1,1,2,1,1,0,Crashed while on approach to Bucharesst., Romania
1923-09-07 00:00:00,"Colton, Ohio",US Aerial Mail Service,1,0,1,1,0,1,0,Crashed during an emergency landing attempt., United Kingdom
1923-09-14 00:00:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,5,3,2,5,3,2,0,Crashed while attempting a forced landing after encountering heavy rain., Ohio
1923-11-18 00:00:00,Russia,CCCP,5,2,3,3,1,2,0,Crashed during a training flight.,null
1923-12-06 00:00:00,"Castalia, Ohio",US Aerial Mail Service,1,0,1,1,0,1,0,Crashed under unknown circumstances., Ohio
1923-12-23 00:00:00,Over the Mediterranean Sea,Military - French Navy,52,NULL,NULL,52,NULL,NULL,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.", WY
1923-12-24 00:00:00,"Egbert, WY",US Aerial Mail Service,1,0,1,1,0,1,0,Crashed into a montain in poor weather conditions.,null
1924-03-07 00:00:00,"Grampian, Pennsylvania",US Aerial Mail Service,1,0,1,1,0,1,0,Crashed during a snowstorm.,null
1924-04-24 00:00:00,Over the English Channel,KLM Royal Dutch Airlines,3,2,1,3,2,1,0,The aircraft disappeared over the North Sea. The plane and passengers were never found., Colombia
1924-06-08 00:00:00,"Barranquilla, Colombia",SCADTA,5,3,2,5,3,2,0,Stalled after taking off and crashed into houses..,null
1924-08-01 00:00:00,United States,US Aerial Mail Service,1,0,1,1,0,1,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",null
1924-11-06 00:00:00,"Cabrerolles, France",Grands Express Aeriens,1,0,1,1,0,1,0,"While en route the pilot encountered thunderstorms, lost control and crashed.", France
1924-12-21 00:00:00,"Goshen, Indiana",US Aerial Mail Service,1,0,1,1,0,1,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.", Indiana
1924-12-24 00:00:00,"Purley, England",Imperial Airways,8,7,1,8,7,1,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.", England
1925-03-22 00:00:00,"Near Tiflis, Georgia, USSR",Zakavia,5,3,2,5,3,2,0,Shortly after take off the plane went out of control and crashed in flames.,null
1932-02-27 00:00:00,"Off Setiba, Brazil",Aeropostale,3,0,3,3,0,3,0,Crashed into the ocean after flying into a thunderstorm., France
1925-06-25 00:00:00,"Landrécies, France",KLM Royal Dutch Airlines,4,3,1,4,3,1,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.", Brazil
1925-06-26 00:00:00,"Alicante, Spain",Grands Express Aeriens,2,0,2,2,0,2,0,While attempting to land the seaplane hit a lightning mast and crashed., Spain
1925-07-20 00:00:00,"Rosas, Spain",Lignes Aeriennes Latecoere,1,0,1,1,0,1,0,Crashed in unknown circumstance., Spain
1925-07-24 00:00:00,"Budapest, Hungary",CIDNA,1,0,1,1,0,1,0,Crashed while attempting to land 10 km from the airport, Ohio
1925-09-03 00:00:00,"Caldwell, Ohio",Military - U.S. Navy,43,NULL,NULL,14,NULL,NULL,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.", France
1925-09-07 00:00:00,"Toul, France",CIDNA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,, Ohio
1925-10-01 00:00:00,"Mt. Nittany, Ohio",US Aerial Mail Service,1,0,1,1,0,1,0,Crashed into a wooded area on Mt. Nittany in fog and low visibility., Hungary
1925-11-14 00:00:00,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,1,0,1,1,0,1,0,The pilot suffered sunstroke lost control of the plane and crashed., Mauritania
1925-11-14 00:00:00,"Off Boulogne-sur-Mer, France",Air Union,2,NULL,NULL,2,NULL,NULL,0,, France
1926-02-12 00:00:00,"Montpelier, Ohio",US Aerial Mail Service,1,0,1,1,0,1,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.", Germany
1926-03-08 00:00:00,"Staaken, Germany",Deutche Lufthansa,1,0,1,1,0,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.,null
1926-05-31 00:00:00,English Channel,Air Union,1,0,1,1,0,1,0,The mail plane crashed into the English Channel and was never found., Czechoslovakia
1926-07-03 00:00:00,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,6,4,2,6,4,2,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude., Belgium
1926-07-09 00:00:00,"Wolvertem, Belgium",KLM Royal Dutch Airlines,2,1,1,2,1,1,0,Crashed into the ground while descending in poor weather., Ohio
1926-07-24 00:00:00,"Juist, Germany",Deutsche Lufthansa,5,4,1,5,4,1,0,Crashed under weather related.circumstances., Germany
1926-08-18 00:00:00,"Hurst, Kent, England",Air Union,15,13,2,3,2,1,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,null
1926-10-02 00:00:00,"Leigh, Kent, Unied Kingdom",Air Union,7,5,2,7,5,2,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",null
1926-10-08 00:00:00,"Bueren, Germany",Deutsche Lufthansa,4,3,1,4,3,1,0,Weather related., Germany
1926-10-21 00:00:00,English Channel,Imperial Airways,12,10,2,0,0,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",null
1926-11-11 00:00:00,"Cape Bojador, Morocco",Grands Express Aeriens,3,3,0,3,3,0,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.", Morocco
1926-12-16 00:00:00,"Medford, Oregon",Pacific Air Transport,1,0,1,1,0,1,0,The postal plane crashed into a mountain slope in foggy conditions., Oregon
1927-01-12 00:00:00,"Estaires, France",Fokker,0,0,2,0,0,2,0,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off., Morocco
1927-03-20 00:00:00,"Rabat, Morocco",Grands Express Aeriens,1,0,1,1,0,1,0,Unknown., France
1927-03-24 00:00:00,"Tambo, Qld, Australia",Qantas,3,2,1,3,2,1,0,"While attempting to land, the engine failed, the aircraft stalled and crashed.",null
1927-04-15 00:00:00,"King Hill, Idaho",Varney Air Lines,1,0,1,1,0,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground., Germany
1927-04-22 00:00:00,"Floh, Germany",Deutsche Lufthansa,2,1,1,2,1,1,0,Crashed following engine failure., Indiana
1927-04-22 00:00:00,"Goshen, Indiana",US Aerial Mail Service,1,0,1,1,0,1,0,Crashed into a field during a snow storm., Idaho
1927-05-02 00:00:00,"Algiers, Algeria",Air Union,3,0,3,1,0,1,0,The three engine seaplane stalled and crashed into the sea shortly after taking off., Algeria
1927-07-27 00:00:00,"Amoneburg, Germany",Deutsche Lufthansa,5,3,2,5,3,2,0,Crashed after experiencing engine failure and attempting to make a forced landing., Germany
1927-08-22 00:00:00,"Sevenoaks, England",KLM Royal Dutch Airlines,11,9,2,1,0,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.", England
1927-09-03 00:00:00,"Willington, Connecticut",Colonial Air Transport,1,0,1,1,0,1,0,The postal plane crashed for unknown reasons., Connecticut
1934-08-05 00:00:00,"Bahia, Brazil",Air France,2,0,2,2,0,2,0,The crew lost control of the aircraft and crashed while taking off from Bahia while on a mail flight., Brazil
1927-09-17 00:00:00,"Hadley, New Jersey",Reynolds Airways,12,11,1,7,6,1,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,null
1927-09-17 00:00:00,Atlantic Ocean,Private,3,1,2,3,1,2,0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.", New Jersey
1927-09-23 00:00:00,"Schleiz, Germany",Deutsche Lufthansa,6,4,2,6,4,2,0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut., Germany
1927-10-06 00:00:00,"Thies, Mauritania",Lignes Aeriennes Latecoere,2,0,2,2,0,2,0,The plane crashed while attempting to land at Dakar., Mauritania
1927-10-30 00:00:00,"New Brunswick, New Jersey",Colonial Air Transport,4,3,1,4,3,1,0,Went into a tailspin and crashed into a corn field about 10 km from the airport., New Jersey
1927-11-08 00:00:00,"Strasburg, France",CIDNA,1,0,1,1,0,1,0,The mail plane crashed shortly after taking off., France
1927-11-16 00:00:00,Over the Gulf of Finland,Aero O-Y,6,4,2,6,4,2,0,Crashed in the gulf of Finland and never found.,null
1927-11-29 00:00:00,"Corunna, Indiana",National Air Transport,1,0,1,1,0,1,0,The postal plane crashed at night in poor weather., Indiana
1927-12-28 00:00:00,"Almeria, Spain",Aeropostale,1,0,1,1,0,1,0,A fire erupted aboard the mail plane while en route and crashed., Spain
1927-12-31 00:00:00,"Near Marseille,France",Latecoere Airlines,5,0,5,5,0,5,0,"Suffered structural failure at an altitude of 1,000 ft.",France
1928-01-08 00:00:00,"Near Canajoharie, New York",Colonial Western Airlines,3,1,2,3,1,2,0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo.., New York
1928-01-16 00:00:00,"Solis, Uruguay",Aeropostale,2,0,2,2,0,2,0,The wing on the mail plane detached from the aircraft and crashed into the sea., Uruguay
1928-01-22 00:00:00,"L'Hospitalet, Ariège",Aeropostale,1,0,1,1,0,1,0,Crashed after experiencing mechanical difficulties., Ariège
1928-01-22 00:00:00,"Tarragona, Spain",Aeropostale,2,0,2,2,0,2,0,Crashed in unknown circumstances., Spain
1928-01-27 00:00:00,"Almeria, Spain",Aeropostale,1,0,1,1,0,1,0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot., Spain
1928-02-26 00:00:00,"Marquette, Nebraska",Boeing Air Transport,2,1,1,1,1,0,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees., Nebraska
1928-03-11 00:00:00,"Off Cape Griz Nez, France",Air Union,2,0,2,2,0,2,0,Crashed into the sea while delivering mail in poor weather., Wyoming
1928-04-17 00:00:00,"Federal, Wyoming",Boeing Air Transport,2,1,1,1,1,0,0,Spatial disorientation after entering a snowstorm., Spain
1928-04-19 00:00:00,"Minuesa, Spain",Iberia Airlines,9,7,2,9,7,2,0,Crashed into a field after getting lost in fog.,null
1928-05-07 00:00:00,"Florianopolis, Brazil Florianopolis, Brazil Florianopolis, Brazil",Aeropostale,5,3,2,1,1,0,0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted., France
1928-05-12 00:00:00,"Dearborn, Minnesota",Ford Air Freight Inc.,2,0,2,2,0,2,0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed., Minnesota
1928-05-26 00:00:00,"Radevormwald, Germany",Deutsche Lufthansa,5,4,1,3,2,1,0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.", Germany
1928-06-14 00:00:00,"Frankfurt, Germany",Deutsche Lufthansa,5,4,1,5,4,1,0,"The ""Viper"" crashed for unknown reasons.", Kansas
1928-06-22 00:00:00,"Lebo, Kansas",National Air Transport,1,0,1,1,0,1,0,The mail plane flew into tornado like winds and crashed in a field.,null
1928-07-10 00:00:00,Over the Gulf of Finland,Aero O-Y,6,4,2,6,4,2,0,Crashed under unknown circumstances, Germany
1928-07-13 00:00:00,"Purley, England",Imperial Airways,6,5,1,4,4,0,0,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.", England
1928-07-24 00:00:00,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,6,5,1,1,1,0,0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.", Netherlands
1928-08-25 00:00:00,"Near Port Townsend, BC, Canada",British Columbia Airways,7,5,2,7,5,2,0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster., France
